ecommerce_product_key,product_id,product_name,brand,root_category,sub_category
1,PROD_b3fab32d5b,"La Costena Chipotle Peppers, 7 OZ (Pack of 12",La Costeï¿½ï¿½a,Food,"Meal Solutions, Grains & Pasta"
2,PROD_5026cc442a,"Equate Triamcinolone Acetonide Nasal Allergy Spray, 55 mcg per spray, 0.37 fl oz",Equate,Health,Equate
3,PROD_a77b4b5585,"AduroSmart ERIA Soft White Smart A19 Light Bulb CRI 90+, 60W Equivalent, Hub Required",AduroSmart ERIA,Electronics,Smart Home
4,PROD_edc2349c3f,"24"" Classic Adjustable Balloon Fender Set Chrome. for bicycles, bikes, for 24"" lowrider bike, beach cruiser",lowrider,Sports & Outdoors,Bikes
5,PROD_470a2611cb,Elephant Shape Silicone Drinkware Portable Silicone Cup Lid Baby Eating Training Accessory Suitable for Toddlers and Kids 4 Colors Optional,Anself,Baby,Feeding
6,PROD_aa1c66a74a,"6 Boxes) Twinings of London Nightly Calm Green Tea Bags, 20 Ct",Twinings,Food,Beverages
7,PROD_c57b47b7b5,"Toytainer Shoe Box Play-N-Store, Boy",Toytainer,Home,Kids Rooms
8,PROD_b1799742f0,Dometic D1112002 D Line 3 N 1 Bowl Cleaner and Tank Treatment - Pack of 24,Dometic,Household Essentials,Bathroom
9,PROD_b47947c459,"Tiny White Mighty Mints (16 oz, ZIN: 525424) - 2-Pack",Larissa Veronica,Food,"Chocolate, Candy & Gum"
10,PROD_706d80c381,Diabetic Socks Small White - Item Number 11600SPR - Small - 1 Pair / Pair,DJO,Health,Diabetes Care
11,PROD_4e491c0824,"FUEL Pureformance Heavy Bag Stand, Black",Fuel Pureformance,Health,Sports Medicine & Injury Recovery Solution
12,PROD_bda32db585,Compression Arm Sleeves Anti-skid Reflective Long Shooter Sleeve for Basketball/Cycling Sports Protection,EZGO,Sports & Outdoors,Sports
13,PROD_16d0aaaf7f,ECOWISE Premium Yoga/Pilates Mat,EcoWise,Sports & Outdoors,Exercise & Fitness
