ecommerce_sale_id,ecommerce_product_key,ecommerce_category_key,brand_key,list_price,sale_price,discount_amount,discount_pct,available_flag
1,1,1,5157,31.93,31.93,0.0,0.0,1
2,2,2,2994,10.48,10.48,0.0,0.0,1
3,3,3,256,10.99,10.99,0.0,0.0,1
4,4,4,10584,38.59,38.59,0.0,0.0,1
5,5,5,500,5.81,5.81,0.0,0.0,1
6,6,6,9459,17.99,17.99,0.0,0.0,0
7,7,7,9359,11.52,11.52,0.0,0.0,1
8,8,8,2590,34.41,34.41,0.0,0.0,1
9,9,9,5206,16.54,16.54,0.0,0.0,1
10,10,10,2338,13.76,13.76,0.0,0.0,1
11,11,11,3464,97.33,79.99,17.340000000000003,17.82,1
12,12,12,2816,6.99,6.99,0.0,0.0,1
13,13,13,2865,35.99,35.99,0.0,0.0,1
14,14,4,9407,97.33,96.5,0.8299999999999983,0.85,1
15,15,14,3924,97.33,96.5,0.8299999999999983,0.85,1
16,16,15,1845,17.44,17.44,0.0,0.0,1
17,17,14,500,69.41,69.41,0.0,0.0,1
18,18,16,9952,8.81,8.81,0.0,0.0,1
19,19,12,7971,19.99,19.99,0.0,0.0,1
20,20,17,9182,34.99,34.99,0.0,0.0,1
21,21,18,1871,25.86,25.86,0.0,0.0,1
22,22,19,8877,12.99,12.99,0.0,0.0,1
23,23,20,249,26.39,26.39,0.0,0.0,1
24,24,21,4136,23.21,23.21,0.0,0.0,1
25,25,22,10067,2.58,2.58,0.0,0.0,0
26,26,12,1942,97.33,96.5,0.8299999999999983,0.85,1
27,27,14,1167,4.99,4.99,0.0,0.0,1
28,28,23,7711,20.99,20.99,0.0,0.0,1
29,29,24,6565,16.78,16.78,0.0,0.0,1
30,30,25,267,9.39,9.39,0.0,0.0,1
31,31,26,6689,14.0,14.0,0.0,0.0,1
32,32,27,228,74.99,74.99,0.0,0.0,1
33,33,6,6310,16.31,16.31,0.0,0.0,1
34,34,28,9339,9.99,9.99,0.0,0.0,1
35,35,14,7646,24.26,24.26,0.0,0.0,1
36,36,29,7187,97.33,96.5,0.8299999999999983,0.85,1
37,37,4,1717,23.82,23.82,0.0,0.0,1
38,38,15,1966,19.82,19.82,0.0,0.0,1
39,39,9,4543,12.79,12.79,0.0,0.0,1
40,40,17,3525,32.99,32.99,0.0,0.0,1
41,41,30,7385,8.99,8.99,0.0,0.0,1
42,42,31,4556,24.71,24.71,0.0,0.0,1
43,43,32,9565,10.48,10.48,0.0,0.0,1
44,44,12,5929,16.76,16.76,0.0,0.0,1
45,45,19,9927,13.95,13.95,0.0,0.0,0
46,46,5,4546,12.99,12.99,0.0,0.0,1
47,12,12,2816,6.99,6.99,0.0,0.0,1
48,47,33,5194,3.13,3.13,0.0,0.0,1
49,48,34,7830,65.0,65.0,0.0,0.0,1
50,49,18,6398,52.49,52.49,0.0,0.0,1
51,50,12,9515,5.01,3.16,1.85,36.93,1
52,51,31,6923,5.08,3.0,2.08,40.94,1
53,52,4,9588,8.32,8.32,0.0,0.0,1
54,23750,4,9588,8.32,8.32,0.0,0.0,1
55,53,9,10362,28.98,28.98,0.0,0.0,1
56,54,26,6689,76.62,76.62,0.0,0.0,1
57,55,12,7563,29.0,29.0,0.0,0.0,1
58,56,14,8581,27.53,27.53,0.0,0.0,1
59,57,18,9098,27.15,27.15,0.0,0.0,1
60,58,13,5052,97.33,96.5,0.8299999999999983,0.85,1
61,59,4,7504,7.64,7.64,0.0,0.0,1
62,60,12,5740,11.95,11.95,0.0,0.0,1
63,61,14,6273,78.95,78.95,0.0,0.0,1
64,62,29,4796,97.33,96.5,0.8299999999999983,0.85,1
65,63,4,10103,17.74,17.74,0.0,0.0,1
66,64,3,4143,97.33,96.5,0.8299999999999983,0.85,1
67,65,4,8795,15.37,15.37,0.0,0.0,1
68,66,33,7353,12.56,12.56,0.0,0.0,0
69,67,26,10229,23.78,23.78,0.0,0.0,1
70,68,35,5775,6.99,6.99,0.0,0.0,1
71,69,13,9107,97.33,96.5,0.8299999999999983,0.85,1
72,70,26,8220,17.74,17.74,0.0,0.0,1
73,71,29,10233,54.95,54.95,0.0,0.0,1
74,72,12,5592,11.5,9.22,2.28,19.83,1
75,73,17,9865,12.99,12.99,0.0,0.0,1
76,74,14,7520,97.33,96.5,0.8299999999999983,0.85,1
77,75,5,5486,7.77,7.77,0.0,0.0,1
78,76,26,1878,15.29,15.29,0.0,0.0,1
79,77,12,3283,97.33,96.5,0.8299999999999983,0.85,1
80,78,36,1220,67.99,67.99,0.0,0.0,1
81,79,6,8156,45.62,45.62,0.0,0.0,1
82,80,12,2842,49.95,49.95,0.0,0.0,1
83,81,14,8632,19.99,13.79,6.199999999999999,31.02,1
