sale_id,date_key,customer_key,product_key,payment_key,category_key,purchase_amount,discount_applied,rating,repeat_customer
1,20240830,1,2,1,436,253.26,0,1.0,1
2,20241221,2,9,2,437,73.19,1,1.0,0
3,20241226,3,7,3,438,125.62,1,1.0,0
4,20241104,4,10,3,436,450.32,0,2.0,1
5,20241007,5,2,3,436,369.28,1,2.0,1
6,20240215,6,5,1,436,435.48,0,3.0,0
7,20241219,7,7,2,438,231.04,0,4.0,1
8,20240928,8,13,1,439,240.91,0,2.0,0
9,20250130,9,3,4,438,179.76,1,5.0,1
10,20241223,10,15,1,439,463.43,1,3.0,0
11,20241212,11,12,3,439,239.72,1,3.0,0
12,20241130,12,10,1,436,89.91,1,1.0,1
13,20240905,13,8,3,437,211.78,1,1.0,1
14,20250208,14,15,1,439,387.78,1,4.0,1
15,20240803,15,14,2,436,489.94,1,1.0,0
16,20240726,16,16,3,437,236.72,1,1.0,0
17,20240329,17,6,4,438,464.09,0,1.0,0
18,20241221,18,13,3,439,85.41,0,4.0,0
19,20240729,19,5,4,436,17.49,1,4.0,1
20,20240822,20,10,2,436,313.74,0,2.0,0
21,20240826,21,16,2,437,151.81,0,2.0,1
22,20240416,22,1,1,438,378.68,0,1.0,1
23,20240820,23,3,1,438,396.59,0,4.0,1
24,20240316,24,3,3,438,164.45,1,2.0,0
25,20250125,25,10,1,436,245.79,1,4.0,1
26,20240425,26,6,4,438,142.58,0,3.0,1
27,20241226,27,13,4,439,365.71,1,4.0,1
28,20241020,28,2,2,436,373.93,0,2.0,0
29,20240316,29,2,1,436,402.71,0,1.0,0
30,20240825,30,4,3,439,28.52,0,1.0,0
31,20241228,31,2,4,436,189.72,1,2.0,1
32,20250111,32,11,3,437,494.56,0,1.0,0
33,20241027,33,9,3,437,269.75,0,2.0,1
34,20240927,34,8,1,437,36.49,0,1.0,1
35,20241106,35,7,2,438,49.02,0,3.0,0
36,20241101,36,7,3,438,25.61,0,3.0,0
37,20240311,37,8,2,437,28.46,1,1.0,1
38,20250117,38,3,2,438,233.97,1,1.0,0
39,20240711,39,9,3,437,375.25,0,1.0,0
40,20240220,40,14,4,436,272.58,1,2.0,1
41,20240216,41,3,2,438,67.48,0,5.0,1
42,20241025,42,14,1,436,287.81,0,5.0,0
43,20241018,43,15,2,439,306.57,1,4.0,0
44,20240227,44,10,4,436,446.81,0,1.0,0
45,20240927,45,5,3,436,195.79,0,3.0,1
46,20240508,46,6,2,438,263.94,1,3.0,0
47,20240615,47,2,2,436,318.18,0,2.0,0
48,20240411,48,1,2,438,406.63,0,4.0,1
49,20241231,49,16,3,437,394.91,0,2.0,0
50,20241108,50,3,1,438,437.68,1,2.0,1
51,20240707,51,4,4,439,281.25,1,4.0,0
52,20240827,52,15,1,439,43.6,0,5.0,1
53,20240409,53,14,1,436,422.19,1,1.0,0
54,20240221,54,16,3,437,364.16,1,4.0,1
55,20240527,55,3,2,438,262.24,1,4.0,0
56,20250206,56,10,2,436,345.84,1,4.0,1
57,20240715,57,3,1,438,446.82,1,1.0,0
58,20240604,58,15,2,439,258.37,0,2.0,1
59,20241214,59,14,4,436,336.23,0,4.0,1
60,20240615,60,16,2,437,362.4,1,2.0,0
61,20241025,61,2,3,436,91.19,1,3.0,0
62,20240330,62,7,3,438,314.25,1,3.0,0
63,20240321,63,7,3,438,477.76,0,1.0,0
64,20240226,64,16,3,437,394.37,1,3.0,0
65,20241120,65,14,4,436,75.8,1,2.0,1
66,20240415,66,5,1,436,335.29,1,4.0,0
67,20250126,67,6,2,438,261.78,1,2.0,0
68,20240513,68,6,4,438,475.46,1,2.0,1
69,20240521,69,11,4,437,299.06,0,2.0,1
70,20240210,70,10,4,436,434.2,0,2.0,0
71,20240409,71,5,4,436,19.49,0,5.0,1
72,20241219,72,5,1,436,437.86,0,5.0,1
73,20240919,73,2,4,436,414.85,0,3.0,1
74,20240408,74,7,4,438,486.14,1,3.0,1
75,20240223,75,10,4,436,255.0,0,4.0,0
76,20240521,76,4,2,439,69.63,1,4.0,1
77,20240306,77,12,2,439,109.16,1,5.0,0
78,20240617,78,11,2,437,30.02,1,1.0,1
79,20240625,79,14,2,436,11.29,1,4.0,0
80,20240627,80,5,2,436,18.92,0,5.0,1
81,20240810,81,13,3,439,455.79,1,3.0,1
82,20241220,82,15,4,439,381.49,0,5.0,1
83,20240211,83,14,3,436,433.03,1,4.0,1
84,20240616,84,8,2,437,442.79,0,3.0,1
85,20240803,85,12,4,439,399.51,1,5.0,1
86,20240520,86,14,2,436,256.21,1,4.0,1
87,20240731,87,8,4,437,440.44,1,4.0,0
88,20240925,88,8,3,437,368.81,0,5.0,1
89,20250123,89,15,1,439,155.32,1,5.0,0
90,20241123,90,8,2,437,142.97,1,3.0,1
91,20240608,91,2,4,436,41.17,1,4.0,1
92,20240616,92,15,2,439,42.7,0,3.0,0
93,20240721,93,1,4,438,127.77,1,2.0,1
94,20241028,94,11,4,437,221.78,0,2.0,0
95,20240319,95,9,3,437,19.57,1,4.0,0
96,20241115,96,12,3,439,176.67,0,1.0,1
97,20240223,97,7,1,438,270.63,1,3.0,1
98,20240705,98,7,2,438,492.82,0,3.0,0
99,20240805,99,8,1,437,494.86,1,3.0,1
100,20240712,100,15,4,439,402.82,1,1.0,1
101,20250125,101,16,1,437,287.65,0,4.0,0
102,20240412,102,13,2,439,38.08,0,3.0,1
103,20240824,103,2,1,436,463.09,0,5.0,0
104,20240221,104,5,3,436,207.1,0,2.0,1
105,20240714,105,4,4,439,168.77,0,3.0,0
106,20241008,106,6,3,438,242.18,1,5.0,0
107,20240410,107,16,1,437,207.84,1,2.0,0
108,20250209,108,4,3,439,230.95,1,4.0,0
109,20240524,109,12,3,439,282.94,0,5.0,0
110,20240226,110,15,4,439,174.41,0,4.0,1
111,20240924,111,5,3,436,130.74,1,4.0,1
112,20241015,112,13,3,439,404.17,0,2.0,0
113,20241122,113,1,4,438,319.4,1,3.0,1
114,20240723,114,11,2,437,249.14,1,2.0,1
115,20240215,115,2,3,436,278.05,1,1.0,0
116,20240517,116,8,1,437,447.87,0,5.0,0
117,20240507,117,14,1,436,55.91,1,3.0,1
118,20250209,118,9,1,437,422.01,1,1.0,1
119,20241013,119,14,1,436,75.67,1,2.0,0
120,20250128,120,15,2,439,249.01,1,4.0,1
121,20240827,121,12,1,439,173.15,1,5.0,0
122,20241114,122,3,2,438,321.64,1,1.0,1
123,20240629,123,6,3,438,64.74,1,4.0,1
124,20240804,124,1,3,438,427.0,1,4.0,1
125,20250113,125,10,3,436,436.91,0,1.0,0
126,20240330,126,9,1,437,365.16,1,3.0,1
127,20241011,127,10,1,436,196.99,1,2.0,1
128,20240903,128,10,3,436,298.27,1,3.0,1
129,20240716,129,8,1,437,281.16,1,1.0,0
130,20240507,130,11,4,437,317.45,1,4.0,1
131,20241201,131,2,4,436,320.22,1,3.0,1
132,20240424,132,1,3,438,110.2,1,1.0,1
133,20241225,133,11,3,437,149.34,1,5.0,0
134,20240525,134,2,4,436,285.32,1,3.0,1
135,20240814,135,10,2,436,309.87,1,4.0,0
136,20240629,136,4,4,439,301.37,1,4.0,0
137,20241009,137,8,4,437,367.7,1,1.0,0
138,20241216,138,15,3,439,246.48,0,5.0,1
139,20240310,139,10,1,436,11.47,1,4.0,1
140,20240415,140,15,4,439,498.05,0,5.0,0
141,20241109,141,16,3,437,260.87,1,1.0,1
142,20241020,142,15,1,439,267.09,1,1.0,0
143,20240318,143,14,4,436,323.0,0,1.0,1
144,20241011,144,6,1,438,84.47,0,4.0,0
145,20240225,145,2,4,436,369.23,0,2.0,0
146,20240914,146,12,3,439,108.63,1,1.0,1
147,20240211,147,16,4,437,181.69,1,2.0,1
148,20240422,148,10,2,436,134.29,0,5.0,0
149,20240510,149,11,4,437,393.59,0,3.0,1
150,20240713,150,1,2,438,410.81,0,3.0,0
151,20241130,151,1,2,438,185.95,1,1.0,1
152,20240319,152,15,1,439,483.0,0,3.0,0
153,20241205,153,9,4,437,123.39,0,2.0,0
154,20241205,154,9,1,437,41.39,1,2.0,1
155,20241109,155,7,1,438,118.86,0,4.0,0
156,20240701,156,5,4,436,414.91,1,4.0,1
157,20240302,157,6,3,438,17.55,0,1.0,0
158,20250201,158,15,3,439,167.63,1,5.0,0
159,20240703,159,2,3,436,142.92,1,3.0,1
160,20240322,160,16,1,437,472.12,1,5.0,0
161,20250107,161,5,3,436,238.69,1,4.0,0
162,20240929,162,11,4,437,66.75,0,2.0,1
163,20240411,163,14,2,436,117.84,0,1.0,1
164,20241024,164,16,3,437,353.16,1,2.0,0
165,20241010,165,4,1,439,163.55,0,1.0,1
166,20241216,166,3,3,438,156.67,0,2.0,1
167,20240526,167,3,2,438,162.59,1,1.0,1
168,20240210,168,3,1,438,107.46,0,2.0,1
169,20240421,169,11,3,437,399.81,1,5.0,1
170,20241226,170,10,3,436,252.13,0,1.0,1
171,20240717,171,5,1,436,149.42,1,3.0,0
172,20240310,172,14,4,436,176.34,0,2.0,0
173,20240511,173,10,1,436,258.11,1,5.0,1
174,20240521,174,6,2,438,484.33,0,5.0,0
175,20240219,175,10,1,436,199.93,0,3.0,0
176,20240429,176,13,4,439,83.67,1,2.0,0
177,20240621,177,3,2,438,362.66,1,5.0,1
178,20240723,178,4,2,439,162.57,1,5.0,0
179,20250205,179,2,4,436,166.74,0,3.0,0
180,20241118,180,11,3,437,109.58,1,3.0,1
181,20240912,181,3,1,438,485.33,0,2.0,0
182,20250104,182,6,4,438,186.59,0,1.0,1
183,20241027,183,8,4,437,164.62,0,5.0,1
184,20240329,184,15,4,439,79.57,0,5.0,1
185,20241111,185,6,4,438,19.44,0,3.0,0
186,20241106,186,4,3,439,492.1,1,3.0,0
187,20240305,187,8,1,437,382.32,0,4.0,1
188,20241128,188,3,4,438,341.66,1,4.0,1
189,20241223,189,16,3,437,392.21,1,5.0,1
190,20241029,190,6,2,438,295.68,1,2.0,0
191,20240701,191,4,4,439,175.67,0,4.0,0
192,20240723,192,13,3,439,195.68,1,5.0,1
193,20241121,193,4,4,439,148.44,0,3.0,1
194,20241124,194,6,1,438,216.62,1,5.0,0
195,20240331,195,11,3,437,314.25,1,4.0,1
196,20250108,196,1,3,438,429.8,0,5.0,0
197,20241024,197,10,2,436,120.66,0,1.0,0
198,20240628,198,15,3,439,413.96,0,1.0,1
199,20240220,199,12,2,439,53.6,1,5.0,0
200,20240226,200,7,4,438,192.6,1,4.0,1
201,20240308,201,9,4,437,168.81,1,3.0,1
202,20241201,202,5,1,436,93.87,0,4.0,0
203,20240314,203,5,2,436,418.85,0,2.0,0
204,20240826,204,6,2,438,169.56,1,4.0,1
205,20241126,205,1,3,438,176.94,1,3.0,1
206,20240830,206,16,1,437,437.7,1,1.0,0
207,20240819,207,3,4,438,21.05,0,4.0,0
208,20241217,208,13,3,439,329.56,0,5.0,0
209,20240720,209,13,1,439,405.97,0,3.0,0
210,20241027,210,7,2,438,263.24,0,5.0,1
211,20240501,211,1,4,438,291.39,0,2.0,1
212,20240716,212,9,2,437,400.61,1,1.0,0
213,20250117,213,4,1,439,292.46,0,3.0,1
214,20240324,214,14,4,436,205.78,1,3.0,1
215,20241218,215,5,4,436,372.29,1,1.0,0
216,20240730,216,14,2,436,448.17,0,2.0,1
217,20240315,217,14,1,436,177.94,1,3.0,1
218,20240607,218,10,2,436,420.36,0,1.0,1
219,20241026,219,15,1,439,242.85,1,2.0,1
220,20240315,220,3,2,438,320.37,0,2.0,1
221,20240413,221,15,1,439,90.71,1,1.0,0
222,20240524,222,5,2,436,295.4,1,2.0,0
223,20241123,223,16,2,437,79.01,1,2.0,1
224,20240318,224,4,3,439,407.54,1,4.0,0
225,20240630,225,8,4,437,344.04,1,3.0,1
226,20240920,226,9,2,437,417.68,1,1.0,1
227,20241209,227,16,1,437,276.49,1,1.0,1
228,20241218,228,1,2,438,289.26,1,1.0,0
229,20240520,229,2,1,436,133.69,1,2.0,0
