performance_id,date_key,store_key,temp_category_key,weekly_sales,temperature,fuel_price,cpi,unemployment,holiday_flag
1,20100502,1,2,1643690.9,42.31,2.572,211.0963582,8.106,0
2,20101202,1,2,1641957.44,38.51,2.548,211.2421698,8.106,1
3,-1,1,2,1611968.17,39.93,2.514,211.2891429,8.106,0
4,-1,1,2,1409727.59,46.63,2.561,211.3196429,8.106,0
5,20100503,1,2,1554806.68,46.5,2.625,211.3501429,8.106,0
6,20101203,1,3,1439541.59,57.79,2.667,211.3806429,8.106,0
7,-1,1,3,1472515.79,54.58,2.72,211.215635,8.106,0
8,-1,1,3,1404429.92,51.45,2.732,211.0180424,8.106,0
9,20100204,1,3,1594968.28,62.27,2.719,210.8204499,7.808,0
10,20100904,1,3,1545418.53,65.86,2.77,210.6228574,7.808,0
11,-1,1,3,1466058.28,66.32,2.808,210.4887,7.808,0
12,-1,1,3,1391256.12,64.84,2.795,210.4391228,7.808,0
13,-1,1,3,1425100.71,67.41,2.78,210.3895456,7.808,0
14,20100705,1,4,1603955.12,72.55,2.835,210.3399684,7.808,0
15,-1,1,4,1494251.5,74.78,2.854,210.3374261,7.808,0
16,-1,1,4,1399662.07,76.44,2.826,210.6170934,7.808,0
17,-1,1,4,1432069.95,80.44,2.759,210.8967606,7.808,0
18,20100406,1,4,1615524.71,80.69,2.705,211.1764278,7.808,0
19,20101106,1,4,1542561.09,80.43,2.668,211.4560951,7.808,0
20,-1,1,4,1503284.06,84.11,2.637,211.4537719,7.808,0
21,-1,1,4,1422711.6,84.34,2.653,211.3386526,7.808,0
22,20100207,1,4,1492418.14,80.91,2.669,211.2235333,7.787,0
23,20100907,1,4,1546074.18,80.48,2.642,211.108414,7.787,0
24,-1,1,4,1448938.92,83.15,2.623,211.1003854,7.787,0
25,-1,1,4,1385065.2,83.36,2.608,211.2351443,7.787,0
26,-1,1,4,1371986.6,81.84,2.64,211.3699032,7.787,0
27,20100608,1,5,1605491.78,87.16,2.627,211.5046621,7.787,0
28,-1,1,5,1508237.76,87.0,2.692,211.6394211,7.787,0
29,-1,1,5,1513080.49,86.65,2.664,211.6033633,7.787,0
30,-1,1,5,1449142.92,85.22,2.619,211.5673056,7.787,0
31,20100309,1,4,1540163.53,81.21,2.577,211.5312479,7.787,0
32,20101009,1,4,1507460.69,78.69,2.565,211.4951902,7.787,1
33,-1,1,4,1430378.67,82.11,2.582,211.5224596,7.787,0
34,-1,1,4,1351791.03,80.94,2.624,211.5972246,7.787,0
35,20100110,1,4,1453329.5,71.89,2.603,211.6719895,7.838,0
36,20100810,1,3,1508239.93,63.93,2.633,211.7467544,7.838,0
37,-1,1,3,1459409.1,67.18,2.72,211.8137436,7.838,0
38,-1,1,3,1345454.0,69.86,2.725,211.8612937,7.838,0
39,-1,1,3,1384209.22,69.64,2.716,211.9088438,7.838,0
40,20100511,1,3,1551659.28,58.74,2.689,211.9563939,7.838,0
41,20101211,1,3,1494479.49,59.61,2.728,212.003944,7.838,0
42,-1,1,3,1483784.18,51.41,2.771,211.8896737,7.838,0
43,-1,1,3,1955624.11,64.52,2.735,211.7484333,7.838,1
44,20100312,1,2,1548033.78,49.27,2.708,211.607193,7.838,0
45,20101012,1,2,1682614.26,46.33,2.843,211.4659526,7.838,0
